Tipo;Marca;Serie
PC;HP;MXL5401XB9
PC;HP;MXL7520R1B
Portátil;Lenovo;MP1QKZQP
PC;HP;MXL24514RX
PC;HP;MXL2451WLF
PC;HP;MXL7520QZ0
Portátil;Lenovo;PF1X4A5W
Portátil;Lenovo;MP1QKWZG
Portátil;Lenovo;MP1QHWCT
PC;HP;MXL7520QTT
Portátil;Lenovo;PF1X3H94
Portátil;HP;5CD6513ZL9
Portátil;HP;5CD6477891
PC;HP;MXL82916LS
Portátil;Lenovo;PF1WVFLR
Portátil;HP;5CD10624VW
Portátil;Lenovo;MP1QKX7R
PC;HP;MXL2451WMY
Portátil;HP;5CD10625T1
Portátil;Lenovo;MP1QHVWK
PC;HP;MXL24514RH
PC;HP;MXL0501NGS
PC;HP;MXL2451WLY
PC;HP;MXL4370G48
PC;Lenovo;MJ0BJVZY
PC;HP;MXL707121W
Portátil;HP;5CG1042W8C
PC;HP;MXL2451WLS
Portátil;Lenovo;PF1X415B
PC;HP;MXL5401T42
PC;HP;MXL5401T47
Portátil;HP;5CD9326XM9
PC;HP;MXL4232TXN
Portátil;HP;5CD9326XN6
Portátil;HP;5CD10625P8
PC;HP;MXL1500V9K
PC;HP;MXL7071243
PC;HP;MXL5401T9K
PC;HP;MXL9011700
PC;HP;MXL7071246
PC;HP;MXL1500VBH
PC;HP;MXL7520QXB
PC;HP;MXL0501NG4
PC;HP;MXL0501NGK
Portátil;Lenovo;MP1QHYE8
Portátil;Lenovo;MP1QHT3N
PC;HP;MXL707122B
Portátil;Lenovo;PF1WVESP
PC;HP;MXJ8260109
PC;HP;MXL5401TGJ
PC;HP;MXL14919J4
Portátil;Lenovo;MP1QHY9R
Portátil;Lenovo;MP1QKWX7
PC;HP;MXL0501NJ5
PC;HP;MXL24514RS
PC;HP;MXL7520QW3
PC;HP;MXL4232TWZ
PC;HP;MXL1500SXX
PC;HP;MXL7520QVV
PC;HP;MXL7520QZP
PC;HP;MXL90114LZ
Portátil;HP;5CG1042VFQ
Portátil;HP;5CG1042VF1
Portátil;Lenovo;MP1QKYNX
Portátil;HP;5CG1042VX6
Portátil;HP;5CD106243D
PC;HP;MXL2451WL0
PC;HP;MXL5401TGL
PC;HP;MXL707123C
Portátil;HP;5CD10625G3
Portátil;Lenovo;MP1QHYC1
Portátil;HP;5CD106254V
PC;HP;MXL5401TH1
PC;HP;MXL24514RF
PC;HP;MXL1500TVR
Portátil;Lenovo;MP1QL097
PC;HP;MXL7520QZ7
PC;HP;MXL4232TY6
PC;HP;MXL7520QWT
PC;Lenovo;MJ0BJVZR
PC;HP;MXJ8260111
PC;HP;MXL4232TXJ
PC;HP;MXL7520QX8
PC;HP;MXL4370G49
PC;HP;MXL1500SXG
Portátil;HP;5CD9326YJJ
PC;HP;MXL0501NJ2
PC;HP;MXL1500TV9
PC;HP;MXL5401XBB
Portátil;Lenovo;MP1QHSS9
Portátil;Lenovo;PC08JC4E
Portátil;HP;5CD9326YGX
Portátil;HP;5CD10625TQ
Portátil;HP;5CD9326XPY
Portátil;Lenovo;MP1QKXF0
PC;HP;MXL1500VBJ
PC;HP;MXL1500TWW
PC;HP;MXL4232TX1
Portátil;Lenovo;PC08JC67
Portátil;Lenovo;PF1X4EPA
Portátil;Lenovo;MP1QHVCK
PC;HP;MXL7520R12
PC;HP;MXL4232TKP
PC;HP;MXL707121P
Portátil;HP;5CD9326YLL
PC;HP;MXL7520R03
PC;HP;MXL4232TXC
PC;HP;MXL5401TH4
PC;HP;MXL24514RY
PC;HP;MXL1500VBQ
Portátil;Lenovo;MP1QHVFJ
PC;HP;MXL0501NHF
PC;HP;MXL1500TWK
Portátil;HP;5CG1042V6Z
Portátil;HP;5CD6513MZ
Portátil;HP;5CD647788D
PC;HP;MXL7520QYZ
Portátil;HP;5CG1042VGJ
PC;HP;MXL4232LLN
PC;HP;MXL4232TPM
PC;HP;MXL0501NHZ
PC;HP;MXL10324GP
PC;HP;MXL4232TYJ
Portátil;Lenovo;MP1QLFQP
PC;HP;MXL1500SYN
Portátil;Lenovo;MP1QL285
PC;HP;MXL0501P24
PC;HP;MXL4232TWY
PC;HP;MXL1500SY6
Portátil;Lenovo;MP1QKXNH
PC;HP;MXL90118MY
PC;HP;MXL0501P25
PC;HP;MXL1032GN
Portátil;HP;5CD106257R
PC;HP;MXJ93005PM
PC;HP;MXL5401X86
PC;HP;MXL5401TC5
Portátil;Lenovo;MP1QHZTF
PC;HP;MXL1500V9L
PC;HP;MXL7071216
PC;HP;MXL8291CD3
Portátil;Lenovo;PF1K1QE1
PC;Lenovo;MJ0AY2M7
Portátil;Lenovo;MP1QKZTT
Portátil;Lenovo;MP1QHWA3
PC;HP;MXL4232TXR
PC;HP;MXL5401TBH
PC;HP;MXL2451WL4
Portátil;Lenovo;MP1QL03B
Portátil;Lenovo;MP1QL07P
PC;HP;MXL4341PLL
Portátil;HP;5CD647786M
Portátil;HP;5CG7083VCD
PC;HP;MXL0501P1P
PC;HP;MXL5401T4Y
PC;HP;MXL4232RRQ
PC;HP;MXJ8290HZD
PC;Lenovo;MJ0A3SQR
PC;HP;MXL5401SRV
PC;HP;MXL5401XB3
PC;HP;MXL7520QY1
PC;HP;MXL707122V
PC;HP;MXL2451WLM
Portátil;HP;5CD7504TMR
PC;HP;MXL7071237
PC;HP;MXL707121H
PC;HP;MXL5401TCY
PC;HP;MXL2451WLB
Portátil;HP;5CG1042VCQ
PC;HP;MXL8291CJ3
PC;HP;1CZ107034
PC;HP;MXL0501P2C
PC;HP;MXL5401TB6
PC;HP;MXL0501P26
Portátil;Lenovo;MP1QJ3MF
PC;Lenovo;MJ0BJVYN
PC;Lenovo;MJ09MKMY
Portátil;HP;5CD106260P
Portátil;Lenovo;MP1QHW8V
Portátil;HP;5CD10624KP
Portátil;HP;5CD7504TL6
Portátil;HP;5CD9326YGJ
Portátil;HP;5CD9326YFM
Portátil;HP;5CG1042W7W
Portátil;Lenovo;MP1QL245
PC;HP;MXL7520QVQ
Portátil;HP;5CD10625X6
Portátil;HP;5CD1062487
Portátil;HP;5CD106244S
Portátil;Lenovo;PF1WVW5T
Portátil;Lenovo;PF1X3CWP
Portátil;HP;5CD10624R9
Portátil;HP;5CD1042VG4
Portátil;HP;5CD10625VF
Portátil;HP;5CD10624F4
Portátil;Lenovo;PF1X43FA
Portátil;HP;5CD1062595
Portátil;HP;5CD10625K5
Portátil;HP;5CG1042W8G
Portátil;HP;5CD10625SJ
Portátil;Lenovo;MP1QHXTK
Portátil;Lenovo;MP1LQL1LQ
Portátil;Lenovo;MP1QHWQ2
Portátil;HP;5CD9326Y0B
Portátil;HP;5CD106241K
Portátil;Lenovo;MP1QKZP7
Portátil;HP;5CD106259G
Portátil;HP;5CD10625YF
Portátil;Lenovo;MP1QHXRX
Portátil;Lenovo;PF1X4A47
Portátil;Lenovo;PFX1CBXPU
Portátil;HP;5CD10625PJ
Portátil;Lenovo;PF1X4Q9R
Portátil;Lenovo;PF1WVW5Y
Portátil;HP;5CD9326YHC
Portátil;Lenovo;MP1QHSQ2
Portátil;Lenovo;MP1QKZSJ
Portátil;Lenovo;MP1QHYQ9
PC;HP;MXL7520QYK
PC;Lenovo;MJ0C3PEG
PC;Lenovo;MJ08RM4C
Portátil;HP;5CD1062570
Portátil;HP;5CD106253Z
Portátil;HP;5CD10625MC 
PC;HP;MXL7520QW1
Portátil;HP;5CD61513ZL0
PC;Lenovo;MJ0AY2M6
Portátil;HP;5CD106260R
Portátil;HP;5CD6513ZL1
Portátil;HP;5CD10624XR
Portátil;Lenovo;MP1QHWWG
Portátil;HP;5CD10624N0
Portátil;HP;5CD10624TL
Portátil;Lenovo;MP1QKZ3B
PC;Lenovo;MJ0A3SQ6
PC;HP;MXL7520QZC
Portátil;HP;5CD9326YLH
Portátil;HP;5CD1042WDG
Portátil;HP;5CD9326YKC
PC;Lenovo;MJ0BJVYZ
PC;Lenovo;MJ0BJW0A
Portátil;Lenovo;PF1WJ2Z
Portátil;Lenovo;MP1QKYWT
PC;HP;MXL707123D
Portátil;Lenovo;MP1QLKY
Portátil;Lenovo;PF1X4GR2
Portátil;HP;5CD1062603
Portátil;HP;5CD7504TLJ
PC;Lenovo;MJ0BJW07
Portátil;Lenovo;PF1X417G
Portátil;HP;5CD106260W
PC;HP;MXL401T4H
Portátil;Lenovo;PF1WVQKD
PC;Lenovo;MJ0BJVZJ
Portátil;HP;5CD10624VJ
Portátil;Lenovo;MP1QLKYD
Portátil;Lenovo;MP1QHVMG
Portátil;HP;5CD1062602
Portátil;Lenovo;MP1QL1LX
PC;HP;MXL5401T9G
Portátil;Lenovo;MP1QKZC6
Portátil;HP;5CD106258G
PC;HP;MXL7520R1M
Portátil;HP;5CD9326XX1
Portátil;HP;5CD106265S
Portátil;Lenovo;MP1QHVNJ
Portátil;Lenovo;MP1QHVXZ
Portátil;Lenovo;MP1QKX4H
Portátil;Lenovo;MP1QLJ4F
Portátil;Lenovo;MP1QL040
Portátil;Lenovo;MP1QL1MN
Portátil;Lenovo;MP1QHQ7
Portátil;HP;5CD9326YGT
Portátil;HP;5CD10625KX
PC;HP;MXL7520QY5
Portátil;Lenovo;PF1X2N2L
PC;HP;MXL707121M
PC;HP;MXL5401T49
PC;HP;MXL7520QZW
PC;Lenovo;MJ0BJW02
PC;HP;MXL5401Q04
Portátil;Lenovo;MP1QHXVZ
Portátil;Lenovo;MP1QL067
Portátil;Lenovo;MP1QHZBF
Portátil;HP;5CD9326YD6
Portátil;Lenovo;PR1G953
Portátil;HP;5CD10625
PC;HP;MXL5401X91
PC;Lenovo;MJ0A3SPE
Portátil;HP;5CD10625TT
Portátil;Lenovo;MP1QHSVG
Portátil;HP;5CG1042VLF
Portátil;Lenovo;MP1QL1MD
Portátil;Lenovo;MP1QKZR6
Portátil;HP;5CD6513ZK4
Portátil;HP;5CG1042VLG
Portátil;Lenovo;MP1QHSTA
PC;HP;MXL7250QV7
Portátil;HP;5CD10624NV
Portátil;Lenovo;MP1QL1TN
PC;HP;MXL9364GS6
Portátil;Lenovo;MP1QHSVN
PC;HP;MXL707121N
PC;HP;MXL90118MJ
PC;HP;MXL5401TH7
PC;HP;MXL5401SS2
PC;HP;MXL5401SRW
Portátil;HP;5CD1062493
PC;HP;MXL4232TQ1
Portátil;Lenovo;PF1X2N6K
Portátil;Lenovo;MP1QHXBC
PC;HP;MXL8290HZT
PC;Lenovo;MJ0BJVZL
PC;Lenovo;MJ0A3SQP
Portátil;Lenovo;MP1QHSTZ
PC;HP;MXL4232TKR
Portátil;HP;5CD9326XH0
Portátil;Lenovo;MP1QKXLA
Portátil;Lenovo;MP1QHY6D
Portátil;HP;5CD1062598
Portátil;HP;5CD10625BX
Portátil;Lenovo;MP1QHSP4
PC;HP;MXL4232TK6
PC;HP;MXL1500TV7
Portátil;Lenovo;MP1QHVNC
Portátil;Lenovo;MP1QKZZF
Portátil;Lenovo;MP1QKXRM
Portátil;Lenovo;MP1QHXLL
PC;HP;MXL5401X9F
Portátil;HP;5CD9326XYL
Portátil;HP;5CD10625W9
Portátil;HP;5CD10625L1
Portátil;HP;5CD106259C
Portátil;Lenovo;MP1QJ199
Portátil;Lenovo;MP1QHVT7
Portátil;Lenovo;MP1QKWW9
Portátil;HP;5CD10624P1
Portátil;HP;5CD64778BJ
Portátil;Lenovo;MP1QL1QF
Portátil;Lenovo;MP1QKXFH
Portátil;Lenovo;MP1QHZ90
Portátil;Lenovo;MP1QL1S3
Portátil;HP;5CD647786L
PC;HP;MXL10825YC
PC;HP;MXL10825Y3
PC;HP;MXL10825YK
PC;HP;MXL10825YD
Portátil;Lenovo;PC08JC63
Portátil;HP;5CD9326Y2H
PC;HP;MXL707122Q
Portátil;HP;5CD1062609
Portátil;HP;5CD1062591
Portátil;Lenovo;PF1G94AS
PC;HP;MXL901185W
PC;HP;MXL90117LW
PC;HP;MXL5401X96
PC;HP;MXL0501NH5
PC;HP;MXL4232TX3
PC;HP;MXL4232RS7
PC;HP;1CZ1070010
PC;HP;MXL8291CH5
Portátil;Lenovo;PF1X3WPJ
PC;HP;MXL0501NFT
Portátil;Lenovo;MP1QL226
PC;HP;MXL5401T4K
PC;HP;MXJ93005JY
PC;HP;MXL1500TTZ
PC;HP;MXL5401TB1
PC;HP;MXL7520QY7
PC;HP;MXL5401Q00
PC;HP;MXL4232LLQ
Portátil;Lenovo;MP1QHGY
PC;HP;MXL24514S6
Portátil;Lenovo;PF1X47VX
Portátil;Lenovo;MP1QJ196
Portátil;Lenovo;MP1QHVJC
PC;HP;MXL5401X95
PC;HP;MXL5401T3V
Portátil;HP;5CD10625MO
Portátil;HP;5CD10623XW
Portátil;Lenovo;MP1QKYJC
Portátil;Lenovo;PF1K2T3M
PC;HP;MXL5401T8V
PC;HP;MXL5401T97
PC;HP;MXL5401T93
PC;Lenovo;MJ0A3ZYA
Portátil;Lenovo;MP1QL01M
Portátil;Lenovo;MP1QKXE9
Portátil;Lenovo;MP1QL29Q
PC;HP;MXL5401T9J
PC;HP;MXL5401T95
Portátil;Lenovo;MP1QHXMN
Portátil;Lenovo;MP1QHVMM
Portátil;HP;5CD9326XN7
Portátil;HP;5CD647787X
PC;HP;MXL4232TY8
PC;HP;MXL5401SR3
PC;HP;MXL5401T3X
PC;HP;MXL5401Q0J
Portátil;Lenovo;MP1QJ44Q
PC;HP;MXL5401TBY
PC;HP;MXL1500VB0
Portátil;Lenovo;PF1X3Z2Q
Portátil;HP;5CD6513ZKX
Portátil;Lenovo;MP1QKX72
Portátil;HP;5CD10625PL
Portátil;Lenovo;20CLA2WW00
Portátil;Lenovo;MP1QLFVL
PC;HP;MXL1500TTY
PC;HP;MXL1500TX0
Portátil;HP;5CD7504TLV
Portátil;HP;5CD9326XLY
Portátil;HP;5CD9326YHS
PC;HP;MXL0501NJ4
PC;HP;MXL4232RR7
PC;HP;MXL7071211
PC;HP;MXL1500TWN
PC;HP;MXJ826014C
PC;HP;MXL7520QTZ
PC;HP;MXL4232TLJ
PC;HP;MXL2451WLN
PC;HP;MXL90117F6
PC;HP;MXL4232TX7
PC;HP;MXL4232TLP
PC;HP;MXL24514RR
PC;HP;MXL5401T9X
PC;HP;MXL7520QYJ
PC;HP;MXL7520R1G
PC;HP;MXL4232LLD
PC;HP;MXJ8310152
PC;HP;MXL4232TKW
PC;HP;MXL5401TBC
Portátil;HP;5CD647788B
Portátil;HP;5CG1042VWJ
PC;HP;MXL4232TXP
PC;HP;MXL90114ML
Portátil;Lenovo;PF1WVFRD
PC;HP;MXL0501NGR
PC;HP;MXL24514SL
Portátil;Lenovo;PF1X3TA0
PC;HP;MXL0501NF4
PC;HP;MXL5401SQZ
PC;HP;MXL4232TXQ
PC;HP;MXL0501NJ3
PC;HP;MXL7520QW4
PC;HP;MXL1500V82
Portátil;HP;5CD647787L
PC;HP;MXL707124C
Portátil;HP;5CD9326XZS
Portátil;Lenovo;PF-1K2VG1
Portátil;HP;SCG1042WRL
Portátil;HP;5CG1042WLQ
PC;HP;MXL7520QXC
PC;HP;MXL4232TX8
PC;HP;MXJ82600Z5
PC;HP;MXL7520QZ1
Portátil;HP;5CD9326YJT
PC;HP;MXL1500TVQ
PC;HP;MXL0501NHL
PC;HP;MXL24514RQ
PC;HP;MXJ8290HW9
PC;HP;MXL7520QZF
PC;HP;MXL4232TL5
PC;HP;MXL5401X94
PC;HP;MXL7071234
Portátil;Lenovo;MP1QHT63
PC;HP;MXJ8290HZS
Portátil;Lenovo;PF1X3WQA
Portátil;HP;5CD106243S
PC;HP;MXL7520QX1
Portátil;HP;5CD64778BF
Portátil;Lenovo;MP1QKXEP
Portátil;Lenovo;PF1X55QX
Portátil;HP;5CD647785M
Portátil;Lenovo;PF1WVNJ5
PC;HP;MXL7520QWZ
Portátil;Lenovo;MP1QL084
